idx	marker_handle	box	layer	type	subType	message
1	0x7f04904fa590	{48.0 681.16 48.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
2	0x7f04904fa5f0	{221.75 681.16 221.75 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
3	0x7f04904fa680	{48.0 685.16 48.0 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
4	0x7f04904fa6e0	{221.75 685.16 221.75 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
5	0x7f04904fa740	{125.16 721.75 125.16 721.75}	METTP	Connectivity	ConnectivityAntenna	Net VSS
6	0x7f04904fa5c0	{48.0 201.16 48.0 201.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
7	0x7f04904fa620	{221.75 201.16 221.75 201.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
8	0x7f04904fa650	{201.16 233.62 201.16 233.62}	METTP	Connectivity	ConnectivityAntenna	Net VDD
9	0x7f04904fa6b0	{48.0 205.16 48.0 205.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
10	0x7f04904fa710	{221.75 205.16 221.75 205.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
11	0x7f04904fa770	{205.16 158.32 205.16 158.32}	METTP	Connectivity	ConnectivityAntenna	Net VSS
12	0x7f04904fa7a0	{125.16 158.32 125.16 158.32}	METTP	Connectivity	ConnectivityAntenna	Net VSS
13	0x7f04904fb8b0	{364.65 328.3 365.03 328.58}	MET1	Geometry	Minimal_Area	Regular Wire of Net u_core_n_57563 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0 
14	0x7f04904fb8e0	{219.94 223.775 219.96 224.505}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_n_67240 Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 219.6600 223.7750 219.9400 224.5050 2: 219.9600 223.7750 220.7600 224.5050 2
15	0x7f04904fb910	{219.94 223.775 219.96 224.505}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_n_67240 Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 219.9600 223.7750 220.7600 224.5050 2: 219.6600 223.7750 219.9400 224.5050 2
16	0x7f04904fb940	{220.5 179.29 220.76 180.015}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_n_66687 & Special Wire of Net VSS Type: Metal Short # -1 -1 9 2 : 220.5000 179.2900 220.7600 180.0150 2: 220.5000 179.2900 220.7600 180.0150 2
17	0x7f04904fba90	{220.5 179.29 220.76 180.015}	MET2	Geometry	Metal_Short	Regular Wire of Net u_core_n_66687 & Special Wire of Net VSS Type: Metal Short # -1 -1 9 2 : 220.5000 179.2900 220.7600 180.0150 2: 220.5000 179.2900 220.7600 180.0150 2
18	0x7f04904fbac0	{219.94 223.775 219.96 224.505}	MET2	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net u_core_n_67240 & Special Wire of Net VDD Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 219.6600 223.7750 219.9400 224.5050 2: 219.9600 223.7750 220.7600 224.5050 2     LEF Description:  SPACING 0.280000 
19	0x7f04904fbaf0	{364.65 328.3 365.03 328.58}	MET1	Geometry	Minimal_Area	Regular Wire of Net u_core_n_57563 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
