idx	marker_handle	box	layer	type	subType	message
1	0x7f61673d9130	{477.26 583.05 477.54 583.43}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_47 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
2	0x7f61673d9190	{482.86 585.85 483.14 586.23}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_47 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
3	0x7f61673d9220	{485.66 576.89 485.94 577.27}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_47 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
4	0x7f61673d9280	{496.3 576.89 496.58 577.27}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_47 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
5	0x7f61673d92b0	{503.58 574.09 503.86 574.47}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_47 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
6	0x7f61673d9340	{485.66 576.93 485.89 577.27}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][244] Type: Metal Short # -1 -1 9 2 : 485.6600 576.9300 485.8900 577.2700 1: 485.6600 576.9300 485.8900 577.2700 1
7	0x7f61673d93a0	{496.3 577.02 496.58 577.27}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][244] Type: Metal Short # -1 -1 9 2 : 496.3000 577.0200 496.5800 577.2700 1: 496.3000 577.0200 496.5800 577.2700 1
8	0x7f61673d93d0	{503.58 574.09 503.81 574.43}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][300] Type: Metal Short # -1 -1 9 2 : 503.5800 574.0900 503.8100 574.4300 1: 503.5800 574.0900 503.8100 574.4300 1
9	0x7f61673d9460	{496.3 576.685 496.44 576.89}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][244] Actual: 0.205000 Required: 0.230000 Type: ParallelRunLength Spacing # 205 230 3 2 : 496.0650 576.3100 496.4400 576.6850 1: 496.3000 576.8900 496.5800 577.1700 1     LEF Description:  SPACING 0.230000 
10	0x7f61673d9490	{496.58 576.93 496.75 577.27}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][244] Actual: 0.170000 Required: 0.230000 Type: ParallelRunLength Spacing # 170 230 3 2 : 496.3000 576.9300 496.5800 577.2700 1: 496.7500 576.9300 497.0900 577.2700 1     LEF Description:  SPACING 0.230000 
11	0x7f61673d91c0	{483.98 565.13 484.26 565.51}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_47 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
12	0x7f61673d91f0	{485.1 567.93 485.38 568.31}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_47 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
13	0x7f61673d9250	{495.18 565.13 495.46 565.51}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_47 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
14	0x7f61673d92e0	{483.98 565.13 484.21 565.47}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][350] Type: Metal Short # -1 -1 9 2 : 483.9800 565.1300 484.2100 565.4700 1: 483.9800 565.1300 484.2100 565.4700 1
15	0x7f61673d9310	{485.1 567.98 485.38 568.31}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_47 & Pin of Cell u_core_g44537 Type: Metal Short # -1 -1 9 2 : 485.1000 567.9800 485.3800 568.3100 1: 485.1000 567.9800 485.3800 568.3100 1
16	0x7f61673d9370	{495.24 565.13 495.46 565.51}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][350] Type: Metal Short # -1 -1 9 2 : 495.2400 565.1300 495.4600 565.5100 1: 495.2400 565.1300 495.4600 565.5100 1
17	0x7f61673d9400	{495.18 565.51 495.46 565.685}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][350] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 495.1800 565.2300 495.4600 565.5100 1: 495.1800 565.6850 495.4600 565.7800 1     LEF Description:  SPACING 0.230000 
18	0x7f61673d9430	{495.46 565.51 495.55 565.685}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][350] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 495.1800 565.2300 495.4600 565.5100 1: 495.5500 565.6850 495.7750 565.9100 1     LEF Description:  SPACING 0.230000 
19	0x7f61673d8e30	{463.26 538.25 463.54 538.63}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_47 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
20	0x7f61673d8e60	{469.42 541.05 469.7 541.43}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_47 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
21	0x7f61673d8f50	{469.42 541.18 469.7 541.43}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][353] Type: Metal Short # -1 -1 9 2 : 469.4200 541.1800 469.7000 541.4300 1: 469.4200 541.1800 469.7000 541.4300 1
22	0x7f61673d9070	{463.24 538.63 463.26 538.81}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_47 & Special Wire of Net VDD Actual: 0.180000 Required: 0.230000 Type: ParallelRunLength Spacing # 180 230 3 2 : 462.3400 538.8100 463.2400 539.7100 1: 463.2600 538.3500 463.5400 538.6300 1     LEF Description:  SPACING 0.230000 
23	0x7f61673d90a0	{463.54 538.25 463.66 538.63}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][353] Actual: 0.120000 Required: 0.230000 Type: ParallelRunLength Spacing # 120 230 3 2 : 463.2600 538.2500 463.5400 538.6300 1: 463.6600 538.2500 463.8900 538.6300 1     LEF Description:  SPACING 0.230000 
24	0x7f61673d90d0	{469.42 540.845 469.56 541.05}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][353] Actual: 0.205000 Required: 0.230000 Type: ParallelRunLength Spacing # 205 230 3 2 : 469.1850 540.4700 469.5600 540.8450 1: 469.4200 541.0500 469.7000 541.3300 1     LEF Description:  SPACING 0.230000 
25	0x7f61673d9100	{469.7 541.09 469.87 541.43}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_47 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][353] Actual: 0.170000 Required: 0.230000 Type: ParallelRunLength Spacing # 170 230 3 2 : 469.4200 541.0900 469.7000 541.4300 1: 469.8700 541.0900 470.2100 541.4300 1     LEF Description:  SPACING 0.230000 
26	0x7f61673d9160	{480.62 547.21 480.9 547.59}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_47 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
27	0x7f61673d8e00	{415.1 550.01 415.38 550.39}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_14 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
28	0x7f61673d8f20	{415.1 550.01 415.32 550.39}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_14 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][373] Type: Metal Short # -1 -1 9 2 : 415.1000 550.0100 415.3200 550.3900 1: 415.1000 550.0100 415.3200 550.3900 1
29	0x7f61673d9010	{415.01 549.835 415.1 550.01}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_14 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][373] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 414.7850 549.6100 415.0100 549.8350 1: 415.1000 550.0100 415.3800 550.2900 1     LEF Description:  SPACING 0.230000 
30	0x7f61673d9040	{415.1 549.835 415.38 550.01}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_14 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][373] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 415.1000 549.7400 415.3800 549.8350 1: 415.1000 550.0100 415.3800 550.2900 1     LEF Description:  SPACING 0.230000 
31	0x7f616e0a14c0	{219.58 683.2 219.58 683.2}	MET1	Connectivity	ConnectivityAntenna	Net VDD
32	0x7f616e0a1520	{219.58 692.16 219.58 692.16}	MET1	Connectivity	ConnectivityAntenna	Net VDD
33	0x7f616e0a1580	{219.58 701.12 219.58 701.12}	MET1	Connectivity	ConnectivityAntenna	Net VDD
34	0x7f616e0a15e0	{219.58 710.08 219.58 710.08}	MET1	Connectivity	ConnectivityAntenna	Net VDD
35	0x7f616e0a16a0	{221.75 681.16 221.75 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
36	0x7f616e0a17f0	{219.58 669.76 219.58 669.76}	MET1	Connectivity	ConnectivityAntenna	Net VSS
37	0x7f616e0a1880	{221.75 685.16 221.75 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
38	0x7f61673d8bf0	{208.46 645.56 208.74 646.1}	MET3	Geometry	Metal_Short	Regular Wire of Net CTS_15 & Special Wire of Net VDD Type: Metal Short # -1 -1 9 2 : 208.4600 645.5600 208.7400 646.1000 3: 208.4600 645.5600 208.7400 646.1000 3
39	0x7f61673d8c20	{208.46 645.82 219.94 646.1}	MET3	Geometry	Metal_Short	Regular Wire of Net CTS_15 & Special Wire of Net VDD Type: Metal Short # -1 -1 9 2 : 208.4600 645.8200 219.9400 646.1000 3: 208.4600 645.8200 219.9400 646.1000 3
40	0x7f61673d8c50	{218.49 645.72 218.97 646.1}	MET3	Geometry	Metal_Short	Regular Wire of Net CTS_15 & Special Wire of Net VDD Type: Metal Short # -1 -1 9 2 : 218.4900 645.7200 218.9700 646.1000 3: 218.4900 645.7200 218.9700 646.1000 3
41	0x7f61673d8c80	{219.66 645.82 219.94 646.36}	MET3	Geometry	Metal_Short	Regular Wire of Net CTS_15 & Special Wire of Net VDD Type: Metal Short # -1 -1 9 2 : 219.6600 645.8200 219.9400 646.3600 3: 219.6600 645.8200 219.9400 646.3600 3
42	0x7f61673d8d40	{207.85 645.54 208.46 645.56}	MET3	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_15 & Special Wire of Net VDD Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 207.8500 645.2600 208.4600 645.5400 3: 207.8500 645.5600 208.4600 646.3600 3     LEF Description:  SPACING 0.280000 
43	0x7f61673d8d70	{219.05 646.36 219.66 646.38}	MET3	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_15 Actual: 0.020000 Required: 0.280000 Type: ParallelRunLength Spacing # 20 280 3 2 : 219.0500 645.5600 219.6600 646.3600 3: 219.0500 646.3800 219.6600 646.6600 3     LEF Description:  SPACING 0.280000 
44	0x7f616e0a1220	{50.405 707.285 52.435 709.12}	MET3	Connectivity	UnConnectedPin	Net VDD Pin: u_core_u_osc_slow_u_ro_tune4/VDD; Direction: INOUT; Use: POWER;
45	0x7f616e0a1460	{50.17 665.28 50.17 665.28}	MET1	Connectivity	ConnectivityAntenna	Net VDD
46	0x7f616e0a1490	{50.17 674.24 50.17 674.24}	MET1	Connectivity	ConnectivityAntenna	Net VDD
47	0x7f616e0a14f0	{50.17 683.2 50.17 683.2}	MET1	Connectivity	ConnectivityAntenna	Net VDD
48	0x7f616e0a1550	{50.17 692.16 50.17 692.16}	MET1	Connectivity	ConnectivityAntenna	Net VDD
49	0x7f616e0a15b0	{50.17 701.12 50.17 701.12}	MET1	Connectivity	ConnectivityAntenna	Net VDD
50	0x7f616e0a1610	{50.17 710.08 50.17 710.08}	MET1	Connectivity	ConnectivityAntenna	Net VDD
51	0x7f616e0a1640	{48.0 681.16 48.0 681.16}	MET3	Connectivity	ConnectivityAntenna	Net VDD
52	0x7f616e0a1760	{50.41 691.915 52.09 693.585}	METTP	Connectivity	UnConnectedPin	Net VSS Pin: u_core_u_osc_slow_u_ro_tune4/VSS; Direction: INOUT; Use: GROUND;
53	0x7f616e0a1820	{48.0 685.16 48.0 685.16}	MET3	Connectivity	ConnectivityAntenna	Net VSS
54	0x7f616e0a18e0	{125.16 721.75 125.16 721.75}	METTP	Connectivity	ConnectivityAntenna	Net VSS
55	0x7f61673d8da0	{243.74 556.17 244.02 556.55}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_12 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
56	0x7f61673d8dd0	{283.5 556.17 283.78 556.55}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_12 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
57	0x7f61673d8e90	{243.79 556.17 244.02 556.51}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_12 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][330] Type: Metal Short # -1 -1 9 2 : 243.7900 556.1700 244.0200 556.5100 1: 243.7900 556.1700 244.0200 556.5100 1
58	0x7f61673d8ec0	{283.5 556.17 283.78 556.375}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_12 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][346] Type: Metal Short # -1 -1 9 2 : 283.5000 556.1700 283.7800 556.3750 1: 283.5000 556.1700 283.7800 556.3750 1
59	0x7f61673d8ef0	{283.555 556.17 283.78 556.47}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_12 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][346] Type: Metal Short # -1 -1 9 2 : 283.5550 556.1700 283.7800 556.4700 1: 283.5550 556.1700 283.7800 556.4700 1
60	0x7f61673d8f80	{283.365 556.55 283.5 556.59}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_12 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][346] Actual: 0.135000 Required: 0.230000 Type: ParallelRunLength Spacing # 135 230 3 2 : 283.3100 556.5900 283.3650 556.6450 1: 283.5000 556.2700 283.7800 556.5500 1     LEF Description:  SPACING 0.230000 
61	0x7f61673d8fb0	{283.48 556.55 283.5 556.61}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_12 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][346] Actual: 0.060000 Required: 0.230000 Type: ParallelRunLength Spacing # 60 230 3 2 : 283.2700 556.6100 283.4800 556.8200 1: 283.5000 556.2700 283.7800 556.5500 1     LEF Description:  SPACING 0.230000 
62	0x7f61673d8fe0	{283.5 556.55 283.535 556.725}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_12 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][346] Actual: 0.175000 Required: 0.230000 Type: ParallelRunLength Spacing # 175 230 3 2 : 283.3100 556.7250 283.5350 556.9500 1: 283.5000 556.2700 283.7800 556.5500 1     LEF Description:  SPACING 0.230000 
63	0x7f61673d8b60	{219.66 466.57 219.94 466.95}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_12 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
64	0x7f61673d8bc0	{219.66 466.57 219.84 466.95}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_12 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[0][nfast_hit_packed][387] Type: Metal Short # -1 -1 9 2 : 219.6600 466.5700 219.8400 466.9500 1: 219.6600 466.5700 219.8400 466.9500 1
65	0x7f61673d8b00	{192.78 457.61 193.06 457.99}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_21 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
66	0x7f61673d8b30	{209.02 466.57 209.3 466.95}	MET1	Geometry	Minimal_Area	Regular Wire of Net CTS_13 Actual: 0.10640000 Required: 0.20200000 Type: Minimum Area # 106400 202000 64 0      LEF Description:  AREA 0.202000 ; 
67	0x7f61673d8b90	{209.02 466.57 209.2 466.95}	MET1	Geometry	Metal_Short	Regular Wire of Net CTS_13 & Blockage of Cell u_core_u_ctx_bank_ctx_snapshot_q_reg[1][nfast_hit_packed][217] Type: Metal Short # -1 -1 9 2 : 209.0200 466.5700 209.2000 466.9500 1: 209.0200 466.5700 209.2000 466.9500 1
68	0x7f61673d8cb0	{192.695 457.99 192.78 458.03}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_21 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][217] Actual: 0.085000 Required: 0.230000 Type: ParallelRunLength Spacing # 85 230 3 2 : 192.4650 458.0300 192.6950 458.2600 1: 192.7800 457.7100 193.0600 457.9900 1     LEF Description:  SPACING 0.230000 
69	0x7f61673d8ce0	{192.78 457.495 193.06 457.61}	MET1	Geometry	Parallel_Run_Length_Spacing	Regular Wire of Net CTS_21 & Blockage of Cell u_core_u_hit_capture_bridge_snapshot_q_reg[nfast_hit_packed][217] Actual: 0.115000 Required: 0.230000 Type: ParallelRunLength Spacing # 115 230 3 2 : 192.7800 457.2650 193.0600 457.4950 1: 192.7800 457.6100 193.0600 457.8900 1     LEF Description:  SPACING 0.230000 
