instance,ns,nf,x_um,y_um,orientation,width_um,height_um,master,parent,placement_status,row,col,expected_x_um,expected_y_um,dx_um,dy_um
u_core_gen_pd_row[6].gen_pd_col[4].u_pd,6,4,,,r0,,,,u_core,,4,6,519.68,441.84,,
u_core_gen_pd_row[6].gen_pd_col[5].u_pd,6,5,,,r0,,,,u_core,,5,6,519.68,479.92,,
u_core_gen_pd_row[6].gen_pd_col[6].u_pd,6,6,,,r0,,,,u_core,,6,6,519.68,517.44,,
u_core_gen_pd_row[6].gen_pd_col[7].u_pd,6,7,,,r0,,,,u_core,,7,6,519.68,554.96,,
u_core_gen_pd_row[7].gen_pd_col[0].u_pd,7,0,,,r0,,,,u_core,,0,7,557.2,292.32,,
u_core_gen_pd_row[7].gen_pd_col[1].u_pd,7,1,,,r0,,,,u_core,,1,7,557.2,329.84,,
u_core_gen_pd_row[7].gen_pd_col[2].u_pd,7,2,,,r0,,,,u_core,,2,7,557.2,367.36,,
u_core_gen_pd_row[7].gen_pd_col[3].u_pd,7,3,,,r0,,,,u_core,,3,7,557.2,404.88,,
u_core_gen_pd_row[7].gen_pd_col[4].u_pd,7,4,,,r0,,,,u_core,,4,7,557.2,441.84,,
u_core_gen_pd_row[7].gen_pd_col[5].u_pd,7,5,,,r0,,,,u_core,,5,7,557.2,479.92,,
u_core_gen_pd_row[7].gen_pd_col[6].u_pd,7,6,,,r0,,,,u_core,,6,7,557.2,517.44,,
u_core_gen_pd_row[7].gen_pd_col[7].u_pd,7,7,,,r0,,,,u_core,,7,7,557.2,554.96,,
